FIPS_state,FIPS_county,year,incidentType,declarationTitle,state
51,000,1963,Flood,FLOODS,VA
66,000,1963,Typhoon,TYPHOON OLIVE,GU
64,000,1963,Typhoon,TYPHOON OLIVE,FM
56,000,1963,Flood,HEAVY RAINS & FLOODING,WY
50,000,1964,Drought,DROUGHT & IMPENDING FREEZE,VT
05,000,1963,Flood,HEAVY RAINS & FLOODING,AR
06,000,1964,Dam/Levee Break,FLOOD DUE TO BROKEN DAM,CA
48,000,1963,Hurricane,HURRICANE CINDY,TX
31,000,1963,Flood,HEAVY RAINS & FLOODING,NE
36,000,1963,Flood,HEAVY RAINS & FLOODING,NY
21,000,1964,Flood,SEVERE STORMS & FLOODING,KY
54,000,1964,Flood,SEVERE STORMS & FLOODING,WV
06,000,1964,Other,SEISMIC SEA WAVE,CA
29,000,1964,Flood,SEVERE STORMS & FLOODING,MO
72,000,1964,Drought,EXTREME DROUGHT CONDITIONS,PR
50,000,1964,Flood,FLOODING,VT
39,000,1964,Flood,SEVERE STORMS & FLOODING,OH
30,000,1964,Flood,HEAVY RAINS & FLOODING,MT
02,000,1964,Earthquake,EARTHQUAKE,AK
05,000,1964,Flood,SEVERE STORMS & FLOODING,AR
18,000,1964,Flood,SEVERE STORMS & FLOODING,IN
22,000,1965,Hurricane,HURRICANE HILDA,LA
78,000,1964,Drought,EXTREME DROUGHT CONDITIONS,VI
64,000,1965,Typhoon,TYPHOON LOUISE,FM
12,000,1964,Hurricane,HURRICANE DORA,FL
13,000,1964,Hurricane,HURRICANE DORA,GA
13,000,1965,Flood,FLOODING,GA
30,000,1965,Snow,SEVERE WINTER STORM,MT
37,000,1965,Flood,SEVERE STORMS & FLOODING,NC
12,000,1964,Hurricane,HURRICANE CLEO,FL
31,000,1964,Flood,SEVERE STORMS & FLOODING,NE
06,003,1965,Flood,HEAVY RAINS & FLOODING,CA
06,011,1965,Flood,HEAVY RAINS & FLOODING,CA
06,005,1965,Flood,HEAVY RAINS & FLOODING,CA
06,035,1965,Flood,HEAVY RAINS & FLOODING,CA
06,007,1965,Flood,HEAVY RAINS & FLOODING,CA
06,017,1965,Flood,HEAVY RAINS & FLOODING,CA
06,041,1965,Flood,HEAVY RAINS & FLOODING,CA
06,023,1965,Flood,HEAVY RAINS & FLOODING,CA
06,015,1965,Flood,HEAVY RAINS & FLOODING,CA
06,021,1965,Flood,HEAVY RAINS & FLOODING,CA
06,033,1965,Flood,HEAVY RAINS & FLOODING,CA
06,045,1965,Flood,HEAVY RAINS & FLOODING,CA
06,055,1965,Flood,HEAVY RAINS & FLOODING,CA
06,049,1965,Flood,HEAVY RAINS & FLOODING,CA
06,063,1965,Flood,HEAVY RAINS & FLOODING,CA
06,067,1965,Flood,HEAVY RAINS & FLOODING,CA
06,057,1965,Flood,HEAVY RAINS & FLOODING,CA
06,061,1965,Flood,HEAVY RAINS & FLOODING,CA
06,077,1965,Flood,HEAVY RAINS & FLOODING,CA
06,091,1965,Flood,HEAVY RAINS & FLOODING,CA
06,089,1965,Flood,HEAVY RAINS & FLOODING,CA
06,093,1965,Flood,HEAVY RAINS & FLOODING,CA
06,097,1965,Flood,HEAVY RAINS & FLOODING,CA
06,095,1965,Flood,HEAVY RAINS & FLOODING,CA
06,099,1965,Flood,HEAVY RAINS & FLOODING,CA
06,113,1965,Flood,HEAVY RAINS & FLOODING,CA
06,101,1965,Flood,HEAVY RAINS & FLOODING,CA
06,103,1965,Flood,HEAVY RAINS & FLOODING,CA
41,001,1965,Flood,HEAVY RAINS & FLOODING,OR
06,105,1965,Flood,HEAVY RAINS & FLOODING,CA
06,109,1965,Flood,HEAVY RAINS & FLOODING,CA
41,005,1965,Flood,HEAVY RAINS & FLOODING,OR
06,115,1965,Flood,HEAVY RAINS & FLOODING,CA
41,007,1965,Flood,HEAVY RAINS & FLOODING,OR
41,003,1965,Flood,HEAVY RAINS & FLOODING,OR
41,011,1965,Flood,HEAVY RAINS & FLOODING,OR
41,013,1965,Flood,HEAVY RAINS & FLOODING,OR
41,025,1965,Flood,HEAVY RAINS & FLOODING,OR
41,023,1965,Flood,HEAVY RAINS & FLOODING,OR
41,015,1965,Flood,HEAVY RAINS & FLOODING,OR
41,009,1965,Flood,HEAVY RAINS & FLOODING,OR
41,021,1965,Flood,HEAVY RAINS & FLOODING,OR
41,033,1965,Flood,HEAVY RAINS & FLOODING,OR
41,031,1965,Flood,HEAVY RAINS & FLOODING,OR
41,017,1965,Flood,HEAVY RAINS & FLOODING,OR
41,027,1965,Flood,HEAVY RAINS & FLOODING,OR
41,039,1965,Flood,HEAVY RAINS & FLOODING,OR
41,029,1965,Flood,HEAVY RAINS & FLOODING,OR
41,019,1965,Flood,HEAVY RAINS & FLOODING,OR
41,037,1965,Flood,HEAVY RAINS & FLOODING,OR
41,035,1965,Flood,HEAVY RAINS & FLOODING,OR
41,041,1965,Flood,HEAVY RAINS & FLOODING,OR
41,047,1965,Flood,HEAVY RAINS & FLOODING,OR
41,059,1965,Flood,HEAVY RAINS & FLOODING,OR
41,055,1965,Flood,HEAVY RAINS & FLOODING,OR
41,063,1965,Flood,HEAVY RAINS & FLOODING,OR
41,057,1965,Flood,HEAVY RAINS & FLOODING,OR
41,043,1965,Flood,HEAVY RAINS & FLOODING,OR
41,049,1965,Flood,HEAVY RAINS & FLOODING,OR
41,045,1965,Flood,HEAVY RAINS & FLOODING,OR
41,053,1965,Flood,HEAVY RAINS & FLOODING,OR
41,051,1965,Flood,HEAVY RAINS & FLOODING,OR
41,061,1965,Flood,HEAVY RAINS & FLOODING,OR
41,069,1965,Flood,HEAVY RAINS & FLOODING,OR
41,067,1965,Flood,HEAVY RAINS & FLOODING,OR
53,005,1965,Flood,HEAVY RAINS & FLOODING,WA
41,065,1965,Flood,HEAVY RAINS & FLOODING,OR
41,071,1965,Flood,HEAVY RAINS & FLOODING,OR
53,003,1965,Flood,HEAVY RAINS & FLOODING,WA
53,013,1965,Flood,HEAVY RAINS & FLOODING,WA
53,011,1965,Flood,HEAVY RAINS & FLOODING,WA
53,023,1965,Flood,HEAVY RAINS & FLOODING,WA
53,015,1965,Flood,HEAVY RAINS & FLOODING,WA
53,027,1965,Flood,HEAVY RAINS & FLOODING,WA
53,041,1965,Flood,HEAVY RAINS & FLOODING,WA
53,033,1965,Flood,HEAVY RAINS & FLOODING,WA
53,039,1965,Flood,HEAVY RAINS & FLOODING,WA
53,037,1965,Flood,HEAVY RAINS & FLOODING,WA
53,061,1965,Flood,HEAVY RAINS & FLOODING,WA
53,045,1965,Flood,HEAVY RAINS & FLOODING,WA
53,049,1965,Flood,HEAVY RAINS & FLOODING,WA
53,053,1965,Flood,HEAVY RAINS & FLOODING,WA
53,059,1965,Flood,HEAVY RAINS & FLOODING,WA
53,069,1965,Flood,HEAVY RAINS & FLOODING,WA
53,063,1965,Flood,HEAVY RAINS & FLOODING,WA
53,071,1965,Flood,HEAVY RAINS & FLOODING,WA
16,005,1965,Flood,HEAVY RAINS & FLOODING,ID
53,077,1965,Flood,HEAVY RAINS & FLOODING,WA
16,009,1965,Flood,HEAVY RAINS & FLOODING,ID
16,013,1965,Flood,HEAVY RAINS & FLOODING,ID
16,001,1965,Flood,HEAVY RAINS & FLOODING,ID
53,075,1965,Flood,HEAVY RAINS & FLOODING,WA
16,019,1965,Flood,HEAVY RAINS & FLOODING,ID
16,025,1965,Flood,HEAVY RAINS & FLOODING,ID
16,023,1965,Flood,HEAVY RAINS & FLOODING,ID
16,055,1965,Flood,HEAVY RAINS & FLOODING,ID
16,015,1965,Flood,HEAVY RAINS & FLOODING,ID
16,029,1965,Flood,HEAVY RAINS & FLOODING,ID
16,047,1965,Flood,HEAVY RAINS & FLOODING,ID
16,049,1965,Flood,HEAVY RAINS & FLOODING,ID
16,053,1965,Flood,HEAVY RAINS & FLOODING,ID
16,045,1965,Flood,HEAVY RAINS & FLOODING,ID
16,039,1965,Flood,HEAVY RAINS & FLOODING,ID
16,057,1965,Flood,HEAVY RAINS & FLOODING,ID
16,035,1965,Flood,HEAVY RAINS & FLOODING,ID
16,031,1965,Flood,HEAVY RAINS & FLOODING,ID
16,061,1965,Flood,HEAVY RAINS & FLOODING,ID
16,069,1965,Flood,HEAVY RAINS & FLOODING,ID
16,063,1965,Flood,HEAVY RAINS & FLOODING,ID
16,067,1965,Flood,HEAVY RAINS & FLOODING,ID
32,019,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",NV
16,073,1965,Flood,HEAVY RAINS & FLOODING,ID
16,079,1965,Flood,HEAVY RAINS & FLOODING,ID
32,029,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",NV
16,087,1965,Flood,HEAVY RAINS & FLOODING,ID
16,075,1965,Flood,HEAVY RAINS & FLOODING,ID
32,005,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",NV
16,077,1965,Flood,HEAVY RAINS & FLOODING,ID
32,031,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",NV
27,001,1965,Flood,FLOODING,MN
27,003,1965,Flood,FLOODING,MN
27,009,1965,Flood,FLOODING,MN
27,015,1965,Flood,FLOODING,MN
27,013,1965,Flood,FLOODING,MN
27,023,1965,Flood,FLOODING,MN
27,021,1965,Flood,FLOODING,MN
27,019,1965,Flood,FLOODING,MN
27,025,1965,Flood,FLOODING,MN
27,033,1965,Flood,FLOODING,MN
27,035,1965,Flood,FLOODING,MN
27,043,1965,Flood,FLOODING,MN
27,041,1965,Flood,FLOODING,MN
27,037,1965,Flood,FLOODING,MN
27,055,1965,Flood,FLOODING,MN
27,039,1965,Flood,FLOODING,MN
27,049,1965,Flood,FLOODING,MN
27,045,1965,Flood,FLOODING,MN
27,051,1965,Flood,FLOODING,MN
27,047,1965,Flood,FLOODING,MN
27,053,1965,Flood,FLOODING,MN
27,065,1965,Flood,FLOODING,MN
27,063,1965,Flood,FLOODING,MN
27,059,1965,Flood,FLOODING,MN
27,073,1965,Flood,FLOODING,MN
27,069,1965,Flood,FLOODING,MN
27,089,1965,Flood,FLOODING,MN
27,079,1965,Flood,FLOODING,MN
27,085,1965,Flood,FLOODING,MN
27,077,1965,Flood,FLOODING,MN
27,067,1965,Flood,FLOODING,MN
27,115,1965,Flood,FLOODING,MN
27,107,1965,Flood,FLOODING,MN
27,103,1965,Flood,FLOODING,MN
27,095,1965,Flood,FLOODING,MN
27,097,1965,Flood,FLOODING,MN
27,087,1965,Flood,FLOODING,MN
27,091,1965,Flood,FLOODING,MN
27,099,1965,Flood,FLOODING,MN
27,111,1965,Flood,FLOODING,MN
27,109,1965,Flood,FLOODING,MN
27,129,1965,Flood,FLOODING,MN
27,093,1965,Flood,FLOODING,MN
27,119,1965,Flood,FLOODING,MN
27,121,1965,Flood,FLOODING,MN
27,123,1965,Flood,FLOODING,MN
27,127,1965,Flood,FLOODING,MN
27,141,1965,Flood,FLOODING,MN
27,131,1965,Flood,FLOODING,MN
27,135,1965,Flood,FLOODING,MN
27,145,1965,Flood,FLOODING,MN
27,139,1965,Flood,FLOODING,MN
27,143,1965,Flood,FLOODING,MN
27,147,1965,Flood,FLOODING,MN
27,151,1965,Flood,FLOODING,MN
27,161,1965,Flood,FLOODING,MN
27,155,1965,Flood,FLOODING,MN
27,159,1965,Flood,FLOODING,MN
27,153,1965,Flood,FLOODING,MN
27,157,1965,Flood,FLOODING,MN
27,163,1965,Flood,FLOODING,MN
27,171,1965,Flood,FLOODING,MN
27,165,1965,Flood,FLOODING,MN
18,039,1965,Tornado,TORNADOES & SEVERE STORMS,IN
27,169,1965,Flood,FLOODING,MN
18,001,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,011,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,023,1965,Tornado,TORNADOES & SEVERE STORMS,IN
27,173,1965,Flood,FLOODING,MN
18,009,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,017,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,057,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,091,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,067,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,107,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,141,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,087,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,149,1965,Tornado,TORNADOES & SEVERE STORMS,IN
26,015,1965,Tornado,TORNADOES & SEVERE STORMS,MI
18,179,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,099,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,053,1965,Tornado,TORNADOES & SEVERE STORMS,IN
18,151,1965,Tornado,TORNADOES & SEVERE STORMS,IN
26,005,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,059,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,117,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,017,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,139,1965,Tornado,TORNADOES & SEVERE STORMS,MI
39,003,1965,Tornado,TORNADOES & SEVERE STORMS,OH
26,115,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,161,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,155,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,081,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,057,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,091,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,037,1965,Tornado,TORNADOES & SEVERE STORMS,MI
26,045,1965,Tornado,TORNADOES & SEVERE STORMS,MI
39,035,1965,Tornado,TORNADOES & SEVERE STORMS,OH
26,023,1965,Tornado,TORNADOES & SEVERE STORMS,MI
39,041,1965,Tornado,TORNADOES & SEVERE STORMS,OH
26,077,1965,Tornado,TORNADOES & SEVERE STORMS,MI
39,067,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,071,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,063,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,093,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,095,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,117,1965,Tornado,TORNADOES & SEVERE STORMS,OH
55,033,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
39,129,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,103,1965,Tornado,TORNADOES & SEVERE STORMS,OH
55,023,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
39,107,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,161,1965,Tornado,TORNADOES & SEVERE STORMS,OH
39,147,1965,Tornado,TORNADOES & SEVERE STORMS,OH
55,055,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
39,149,1965,Tornado,TORNADOES & SEVERE STORMS,OH
55,005,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,043,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,003,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,011,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,073,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,095,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
19,005,1965,Flood,FLOODING,IA
55,091,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,093,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,063,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,129,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,103,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,127,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,067,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
19,017,1965,Flood,FLOODING,IA
55,121,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
19,015,1965,Flood,FLOODING,IA
19,013,1965,Flood,FLOODING,IA
55,109,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,089,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
55,123,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",WI
19,011,1965,Flood,FLOODING,IA
19,021,1965,Flood,FLOODING,IA
19,035,1965,Flood,FLOODING,IA
19,043,1965,Flood,FLOODING,IA
19,019,1965,Flood,FLOODING,IA
19,041,1965,Flood,FLOODING,IA
19,033,1965,Flood,FLOODING,IA
19,009,1965,Flood,FLOODING,IA
19,023,1965,Flood,FLOODING,IA
19,045,1965,Flood,FLOODING,IA
19,029,1965,Flood,FLOODING,IA
19,027,1965,Flood,FLOODING,IA
19,057,1965,Flood,FLOODING,IA
19,049,1965,Flood,FLOODING,IA
19,047,1965,Flood,FLOODING,IA
19,059,1965,Flood,FLOODING,IA
19,063,1965,Flood,FLOODING,IA
19,061,1965,Flood,FLOODING,IA
19,069,1965,Flood,FLOODING,IA
19,067,1965,Flood,FLOODING,IA
19,071,1965,Flood,FLOODING,IA
19,091,1965,Flood,FLOODING,IA
19,107,1965,Flood,FLOODING,IA
19,097,1965,Flood,FLOODING,IA
19,079,1965,Flood,FLOODING,IA
19,093,1965,Flood,FLOODING,IA
19,101,1965,Flood,FLOODING,IA
19,115,1965,Flood,FLOODING,IA
19,085,1965,Flood,FLOODING,IA
19,109,1965,Flood,FLOODING,IA
19,083,1965,Flood,FLOODING,IA
19,119,1965,Flood,FLOODING,IA
19,133,1965,Flood,FLOODING,IA
19,111,1965,Flood,FLOODING,IA
19,103,1965,Flood,FLOODING,IA
19,123,1965,Flood,FLOODING,IA
19,113,1965,Flood,FLOODING,IA
19,127,1965,Flood,FLOODING,IA
19,129,1965,Flood,FLOODING,IA
19,125,1965,Flood,FLOODING,IA
19,137,1965,Flood,FLOODING,IA
19,141,1965,Flood,FLOODING,IA
19,145,1965,Flood,FLOODING,IA
19,135,1965,Flood,FLOODING,IA
19,153,1965,Flood,FLOODING,IA
19,143,1965,Flood,FLOODING,IA
19,149,1965,Flood,FLOODING,IA
19,139,1965,Flood,FLOODING,IA
19,151,1965,Flood,FLOODING,IA
19,163,1965,Flood,FLOODING,IA
19,147,1965,Flood,FLOODING,IA
19,161,1965,Flood,FLOODING,IA
19,155,1965,Flood,FLOODING,IA
19,171,1965,Flood,FLOODING,IA
19,183,1965,Flood,FLOODING,IA
19,165,1965,Flood,FLOODING,IA
19,179,1965,Flood,FLOODING,IA
19,177,1965,Flood,FLOODING,IA
19,187,1965,Flood,FLOODING,IA
19,193,1965,Flood,FLOODING,IA
19,195,1965,Flood,FLOODING,IA
19,197,1965,Flood,FLOODING,IA
19,189,1965,Flood,FLOODING,IA
19,167,1965,Flood,FLOODING,IA
17,001,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,015,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,071,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,085,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,097,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,111,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,149,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,131,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
17,161,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
38,067,1965,Flood,FLOODING,ND
38,073,1965,Flood,FLOODING,ND
38,003,1965,Flood,FLOODING,ND
38,077,1965,Flood,FLOODING,ND
38,063,1965,Flood,FLOODING,ND
38,017,1965,Flood,FLOODING,ND
38,097,1965,Flood,FLOODING,ND
38,035,1965,Flood,FLOODING,ND
17,195,1965,Tornado,"TORNADOES, SEVERE STORMS & FLOODING",IL
38,099,1965,Flood,FLOODING,ND
46,081,1965,Flood,FLOODING,SD
46,103,1965,Flood,FLOODING,SD
53,053,1965,Earthquake,EARTHQUAKE,WA
53,045,1965,Earthquake,EARTHQUAKE,WA
38,091,1965,Flood,FLOODING,ND
